city,latitude,longitude
"Macomb, IL",40.45993,-90.6717
Nora Springs,43.1427,-93.0081
Marion,42.0361,-91.58722
"Bentonville, AR",36.37187,-94.20272
Grimes,41.69031,-93.79106
Bedford,40.66706,-94.72142
Wapello,41.17896,-91.18708
Walnut,40.77875,-92.94455
Oakland,41.30915,-95.39683
Lamoni,40.62373,-93.93895
Sutherland,42.96806,-95.49617
Stanhope,42.28536,-93.79598
Fayette,42.06524,-91.79581
Mechanicsville,41.90456,-91.25443
Adair,41.50155,-94.64343
"Henderson, TX",32.15788,-94.79815
Urbandale,41.63033,-93.7365
Cantril,40.64179,-92.0672
West Burlington,40.82603,-91.16163
Boyden,43.19101,-96.00017
Manilla,41.88971,-95.23479
Breda,42.18161,-94.97849
Letts,41.32825,-91.23839
Carlisle,41.49378,-93.48759
Anthon,46.96444,-64.83208
Le Claire,41.59758,-90.3436
Walcott,41.58584,-90.77464
St Ansgar,43.37851,-92.9191
Armstrong,43.39633,-94.48026
Shell Rock,42.71007,-92.5832
"Onalaska, WI",43.88274,-91.23416
Riverside,41.47991,-91.57867
Spirit Lake,43.42262,-95.10226
Stacyville,43.43623,-92.7823
Monticello,42.23812,-91.18722
Sibley,43.404,-95.75121
Solon,41.80547,-91.49284
Mediapolis,41.00792,-91.1641
Fairfield,41.00663,-91.96505
Pomeroy,42.55107,-94.68404
New Sharon,41.46972,-92.6515
Chariton,41.01444,-93.30349
Lake Mills,43.41931,-93.5325
Keota,41.36664,-91.95493
Fredericksburg,42.96508,-92.20415
Creston,41.05925,-94.36965
Gowrie,42.28056,-94.29089
Williamsburg,41.66068,-92.00745
Huxley,41.89426,-93.60056
Atkins,41.99265,-91.86052
Sac City,42.42209,-94.98948
Garner,43.10013, -93.60268
Ossian,43.14762,-91.76434
Hull,43.18579,-96.13366
Bettendorf,41.52627,-90.50728
"St Joseph, MO",39.76819,-94.84816
Neola,41.44944,-95.61455
Westwood,40.96536,-91.62679
Lime Springs,43.44902,-92.28568
Maxwell,41.8921,-93.39966
Roland,42.16638,-93.50196
Wayland,41.15065,-91.6586
Swea City,43.38493,-94.3073
"NSioux City, SD",42.52484,-96.4876
Waterloo,42.49347,-92.34364
Jamaica,41.84505,-94.30935
"Deerfield, IL",42.16731,-87.84574
Primghar,43.08728,-95.62691
Keystone,42.00426,-92.20218
Waukon,43.26927,-91.4756
Hudson,42.40391,-92.45937
Milo,42.41982,-91.42266
Sioux City,42.49632,-96.40644
"Denver, CO",39.73845,-104.98485
Cedar Falls,42.53781,-92.4534
Granger,41.75815,-93.82434
"Lincoln, NE",40.8136,-96.70261
Northwood,43.44406,-93.21584
Burt,43.19757,-94.21962
Sheldon,43.18601,-95.845
Brooklyn,41.73358,-92.44547
Monona,43.05187,-91.38989
Nevada,42.01965,-93.45228
Jewell,42.30166,-93.67643
Shellsburg,42.09454,-91.87339
"Carthage, IL",40.41365,-91.13628
Audubon,41.71697,-94.93186
"Kirksville, MO",40.19472,-92.58205
Fonda,42.58232,-94.84609
Jefferson,42.01529,-94.3774
Earling,41.77316,-95.42237
Wellman,41.46747,-91.83785
Sloan,42.23251,-96.22844
Belmond,42.84875,-93.6024
Aplington,42.58399,-92.88033
Greene,42.89632,-92.80121
"Vermillion, SD",42.78758,-96.92678
Exira,41.59113,-94.8857
Dayton,42.26151,-94.06843
Schleswig,42.16751,-95.43092
Britt,43.09783,-93.80182
Paullina,42.9828,-95.68644
Buffalo,41.45535,-90.72335
Wilton,41.58978,-91.01693
Lynnville,41.57758,-92.78275
Blairstown,41.9064,-92.0844
Readlyn,42.70366,-92.22538
Harlan,41.64567,-95.32556
Odebolt,42.31232,-95.25059
Tama,41.96377,-92.57684
Cherokee,42.74967,-95.55127
Dysart,42.17052,-92.30267
Van Horne,42.00734,-92.08567
Greenfield,41.4114,-93.64994
Dubuque,42.50551,-90.66731
Clarion,42.73076,-93.73283
"New Brighton, MN",45.06282,-93.19817
George,43.34474,-95.99838
"Yankton, SD",42.87106,-97.39054
Lineville,40.59166,-93.52311
Elgin,42.95736,-91.63099
Clear Lake,43.13736,-93.37875
Manson,42.53131,-94.54016
Elkader,42.85457,-91.40445
Lake Park,43.45583,-95.32072
Baxter,41.82187,-93.15438
Whiting,42.12382,-96.14752
Bode,42.86306,-94.28743
Conrad,42.22453,-92.87459
Avoca,41.47657,-95.33793
Carson,41.23467,-95.41811
Council Bluffs,41.25896,-95.85436
Bondurant,41.69177,-93.46373
Carter Lake,41.28495,-95.91798
Monroe,42.09915,-91.71693
Newton,41.69558,-93.04347
Shelby,41.51711,-95.44968
Onawa,42.02673,-96.09725
Remsen,42.80839,-95.97079
Wall Lake,42.30682,-95.0524
"Silvis, IL",41.51223,-90.41563
Shenandoah,40.76599,-95.37385
Dyersville,42.4846,-91.12153
"Fridley, MN",45.08614,-93.25836
Windsor Heights,41.60041,-93.70863
"nan, NE",47.4297,-120.29649
Evansdale,42.46325,-92.27208
New London,40.92601,-91.40538
"St. Louis , MO",38.63536,-90.20099
Algona,43.06987,-94.23302
Holstein,42.4893,-95.54479
"Albert Lea, MN",43.64688,-93.3687
Dike,42.46294,-92.63186
"nan, MO",18.67774,100.99308
Iowa City,41.66124,-91.53013
Boone,42.05657,-93.87996
Treynor,41.23154,-95.60937
Ottumwa,41.02325,-92.41326
Eldora,42.36068,-93.0995
Corning,40.98808,-94.73188
Alta,42.67634,-95.30899
"Stillwater, OK",36.11017,-97.05857
Lenox,41.80166,-91.87451
Latimer,42.76349,-93.36828
Tabor,40.89281,-95.67132
"Somerset, NJ",40.49363,-74.50477
Urbana,42.22401,-91.87141
Orange City,43.00136,-96.05678
Story City,42.18586,-93.59106
Richland,41.18641,-91.99323
Osceola,41.03494,-93.7657
Afton,41.02751,-94.19761
Red Oak,41.01581,-95.23272
West Union,42.9642,-91.8082
Kingsley,42.58692,-95.96732
Fremont,41.12358,-93.72279
"Raleigh, NC",35.7813,-78.64168
Carroll,42.06565,-94.86722
Lisbon,41.92126,-91.38547
Villisca,40.9296,-94.97589
"Downers Grove, IL",41.80886,-88.01113
Centerville,40.7325,-92.87416
Lone Tree,41.48718,-91.42569
Eddyville,41.15818,-92.63019
Sergeant Bluff,42.40031,-96.36306
Bussey,41.20453,-92.88337
Birmingham,40.8761,-91.94603
Marshalltown,42.03638,-92.91273
Vinton,42.15922,-92.02791
Peterson,42.91791,-95.3438
Peosta,42.44883,-90.85041
West Liberty,41.57018,-91.26495
Burlington,40.81059,-91.10128
Griswold,41.2357,-95.13715
Riceville,43.36385,-92.55228
Guthrie Center,41.6773,-94.50232
Iowa Falls,42.51964,-93.26546
Anita,41.44515,-94.76486
Hartley,43.18482,-95.47694
"Worthington, MN",43.6188,-95.59553
Rolfe,42.81269,-94.52792
Vail,42.05959,-95.20023
"East Syracuse, NY",43.06399,-76.07107
Mason City,43.15362,-93.20104
Le Mars,42.78818,-96.17375
Winthrop,42.47303,-91.73187
Charles City,43.06642,-92.67252
"Renton, WA",47.47466,-122.20679
De Witt,41.82615,-90.53899
Johnston,41.66932,-93.69765
Williams,42.48812,-93.54711
"Springfield, IL",39.79936,-89.64362
"Toldeo, OH",41.6553,-83.53572
Keokuk,40.41352,-91.40186
Mount Pleasant,40.9656,-91.55484
"Fairmont, MN",43.65213,-94.46091
Moravia,40.89244,-92.82096
"Manitowoc, WI",44.08884,-87.65779
Edgewood,42.64357,-91.39876
Grundy Center,42.36147,-92.7683
Elma,43.24187,-92.44465
Manly,43.28402,-93.20109
Spencer,43.14137,-95.1447
Manchester,42.48397,-91.45794
Columbus Junction,41.27893,-91.36171
Donnellson,40.64545,-91.56446
Essex,40.83444,-95.30739
Toledo,41.99091,-92.58171
Mitchellville,41.66864,-93.35807
Storm Lake,42.64094,-95.20086
Epworth,42.44516,-90.9319
West Bend,42.95879,-94.44515
"Quincy, IL",39.93553,-91.38875
Clarinda,40.74215,-95.03255
Coon Rapids,41.87091,-94.67743
Hopkinton,42.34541,-91.24698
Hawarden,43.00078,-96.48794
Newell,42.60445,-95.00227
Orleans,43.38545,-92.02822
Columbus City,41.25874,-91.37504
Kalona,41.48587,-91.70107
Okoboji,43.38216,-95.12884
Elk Horn,41.59183,-95.05997
Randolph,40.87321,-95.56612
Humboldt,42.72113,-94.21455
"Galesburg, IL",40.9475,-90.37249
State Center,42.01564,-93.16494
"Tacoma, WA",47.25308,-122.44153
Maquoketa,42.06922,-90.66293
Colfax,41.6733,-93.2404
