"specialty","visiting_city","visiting_site","visiting_lat","visiting_lon","frequency","origin_site","origin_city","origin_lat","origin_lon","consultant_name"
"General Surgery","Albia","Monroe County Hospital","41.02622","-92.80711","1/WK","Iowa Specialty Surgeons","West Des Moines","41.5755","-93.71303","Paul A Conte, MD"
"General Surgery","Albia","Monroe County Hospital","41.02622","-92.80711","1/WK","Iowa Specialty Surgeons","West Des Moines","41.5755","-93.71303","Timothy Paul Mayfield, MD"
"Hand Surgery","Albia","Monroe County Hospital","41.02622","-92.80711","2/MO","Iowa Orthopaedic Center - Des Moines","Des Moines","41.58882","-93.62031","Michael A Gainer, MD"
"Orthopaedic Surgery","Albia","Monroe County Hospital","41.02622","-92.80711","1/WK","Wayne County Hospital","Corydon","40.75842","-93.31806","Shehada Mohamad Homedan, MD"
"Otolaryngology","Albia","Monroe County Hospital","41.02622","-92.80711","1/MO","Broadlawns ENT Clinic","Des Moines","41.58882","-93.62031","Matthew Robert Brown, MD"
"Pain Medicine Anes","Albia","Monroe County Hospital","41.02622","-92.80711","1/MO","Broadlawns Pain Management","Des Moines","41.58882","-93.62031","Robert S Rossi, MD"
"Cardiovascular Disease","Algona","Kossuth Regional Health Center","43.06987","-94.23302","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Byron T Beasley, MD"
"Nephrology","Algona","Kossuth Regional Health Center","43.06987","-94.23302","1/MO","MercyOne North Iowa Specialty Care - Mason City","Mason City","43.15362","-93.20104","Mark I Chieh Hong, MD"
"Neurology","Algona","Kossuth Regional Health Center","43.06987","-94.23302","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Rajinder Kumar Verma, MD"
"Orthopaedic Surgery","Algona","Kossuth Regional Health Center","43.06987","-94.23302","2/MO","NW IA Bone, Joint & Sports - Spencer","Spencer","43.14137","-95.1447","Jason C Hough, DO"
"Orthopaedic Surgery","Algona","Kossuth Regional Health Center","43.06987","-94.23302","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Mihail Radulescu, MD"
"Otolaryngology","Algona","Kossuth Regional Health Center","43.06987","-94.23302","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Vishram Jalukar, MD"
"Urology","Algona","Kossuth Regional Health Center","43.06987","-94.23302","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Timothy L Mulholland, MD"
"Urology","Algona","Kossuth Regional Health Center","43.06987","-94.23302","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Kevin R Rier, MD"
"Urology","Algona","Kossuth Regional Health Center","43.06987","-94.23302","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Steven Patrick Thoma, MD"
"General Surgery","Ames","McFarland Clinic - Duff Ave","42.0268","-93.62018","1/MO","McFarland Clinic/Urgent Care - Carroll","Carroll","42.06565","-94.86722","Mark Nathaniel Abraham, MD"
"Orthopaedic Surgery","Ames","McFarland Clinic - Duff Ave","42.0268","-93.62018","1/MO","UIHC - Dept of Ortho Surgery & Rehab","Iowa City","41.66124","-91.53013","Joshua Brent Holt, MD"
