specialty,community,clinic_site,frequency,group,point_of_origin,consultant
General Surgery,Albia,Monroe County Hospital,1/WK,Iowa Specialty Surgeons,West Des Moines,"Paul A Conte, MD"
General Surgery,Albia,Monroe County Hospital,1/WK,Iowa Specialty Surgeons,West Des Moines,"Timothy Paul Mayfield, MD"
Hand Surgery,Albia,Monroe County Hospital,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Michael A Gainer, MD"
Orthopaedic Surgery,Albia,Monroe County Hospital,1/WK,Wayne County Hospital,Corydon,"Shehada Mohamad Homedan, MD"
Otolaryngology,Albia,Monroe County Hospital,1/MO,Broadlawns ENT Clinic,Des Moines,"Matthew Robert Brown, MD"
Pain Medicine Anes,Albia,Monroe County Hospital,1/MO,Broadlawns Pain Management,Des Moines,"Robert S Rossi, MD"
Cardiovascular Disease,Algona,Kossuth Regional Health Center,1/WK,Mason City Clinic PC,Mason City,"Byron T Beasley, MD"
Nephrology,Algona,Kossuth Regional Health Center,1/MO,MercyOne North Iowa Specialty Care - Mason City,Mason City,"Mark I Chieh Hong, MD"
Neurology,Algona,Kossuth Regional Health Center,1/MO,Mason City Clinic PC,Mason City,"Rajinder Kumar Verma, MD"
Orthopaedic Surgery,Algona,Kossuth Regional Health Center,2/MO,"NW IA Bone, Joint & Sports - Spencer",Spencer,"Jason C Hough, DO"
Orthopaedic Surgery,Algona,Kossuth Regional Health Center,1/WK,Mason City Clinic PC,Mason City,"Mihail Radulescu, MD"
Otolaryngology,Algona,Kossuth Regional Health Center,1/WK,Mason City Clinic PC,Mason City,"Vishram Jalukar, MD"
Urology,Algona,Kossuth Regional Health Center,1/MO,Mason City Clinic PC,Mason City,"Timothy L Mulholland, MD"
Urology,Algona,Kossuth Regional Health Center,1/MO,Mason City Clinic PC,Mason City,"Kevin R Rier, MD"
Urology,Algona,Kossuth Regional Health Center,1/MO,Mason City Clinic PC,Mason City,"Steven Patrick Thoma, MD"
General Surgery,Ames,McFarland Clinic - Duff Ave,1/MO,McFarland Clinic/Urgent Care - Carroll,Carroll,"Mark Nathaniel Abraham, MD"
Orthopaedic Surgery,Ames,McFarland Clinic - Duff Ave,1/MO,UIHC - Dept of Ortho Surgery & Rehab,Iowa City,"Joshua Brent Holt, MD"
Pediatric Cardiology,Ames,McFarland Clinic - Duff Ave,2/MO,Pediatric Cardiology PC,Des Moines,"Jill Kathryn Shivapour, MD"
Pediatric Gastroenterology,Ames,McFarland Clinic - Duff Ave,1/MO,MercyOne Clinic Peds Subspecialty - Des Moines,Des Moines,"Daniel E Dimeo, MD"
Cardiovascular Disease,Anamosa,Jones Regional Medical Center,3+/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Subhi A Abu-Halawa, MD"
Cardiovascular Disease,Anamosa,Jones Regional Medical Center,3+/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Fahed Hassib Al Darazi, MD"
Cardiovascular Disease,Anamosa,Jones Regional Medical Center,3+/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Keith Jon Kopec, MD"
Cardiovascular Disease,Anamosa,Jones Regional Medical Center,3+/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Weiwei Li, MD"
Cardiovascular Disease,Anamosa,Jones Regional Medical Center,3+/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Laila Alexandra Payvandi, MD"
Cardiovascular Disease,Anamosa,Jones Regional Medical Center,3+/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Boothapuri Venkatesh, MD"
Cardiovascular Disease,Anamosa,Jones Regional Medical Center,3+/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Hisham M Wagdy, MD"
Gastroenterology,Anamosa,Jones Regional Medical Center,2/MO,UnityPoint Clinic Gastroenterology - Cedar Rapids,Cedar Rapids,"Pavan Chepyala, MD"
Gastroenterology,Anamosa,Jones Regional Medical Center,2/MO,UnityPoint Clinic Gastroenterology - Cedar Rapids,Cedar Rapids,"Leon Liang Qiao, MD"
General Surgery,Anamosa,Jones Regional Medical Center,3/MO,PCI Surgical Specialists,Cedar Rapids,"Luke Christopher Brunner, MD"
General Surgery,Anamosa,Jones Regional Medical Center,1/WK,PCI Surgical Specialists,Cedar Rapids,"Andrew George Nowell, MD"
Medical Oncology,Anamosa,Jones Regional Medical Center,1/MO,Oncology Assoc of Cedar Rapids,Cedar Rapids,"Deborah W Wilbur, MD"
Nephrology,Anamosa,Jones Regional Medical Center,2/MO,UnityPoint Clinic - Diabetes/Kidney Center,Cedar Rapids,"Paramesh Babu Ramadugu, MD"
Obstetrics & Gynecology,Anamosa,Jones Regional Medical Center,1/MO,Iowa Women's Health Center,Cedar Rapids,"Jason A Rexroth, MD"
Ophthalmology,Anamosa,Jones Regional Medical Center,1/MO,Fox Eye Laser Vision Inst. PC,Cedar Rapids,"Lee D Birchansky, MD"
Orthopaedic Surgery,Anamosa,Jones Regional Medical Center,2/MO,PCI Orthopedics,Cedar Rapids,"John David Hart, MD"
Orthopaedic Surgery,Anamosa,Jones Regional Medical Center,2/MO,PCI Orthopedics,Cedar Rapids,"Peter Donnan Pardubsky, MD"
Otolaryngology,Anamosa,Jones Regional Medical Center,2/MO,PCI ENT Clinic,Cedar Rapids,"Melanie Lucille Giesler-Spellman, DO"
Physical Medicine & Rehab,Anamosa,Jones Regional Medical Center,2/MO,UnityPoint - St Luke's Hospital,Cedar Rapids,"Nicholas Robert Appleby, DO"
Pulmonary Disease,Anamosa,Jones Regional Medical Center,1/MO,UnityPoint Clinic Multi Specialty - CR,Cedar Rapids,"Vijaya Kumar Gogineni, MD"
Pulmonary Disease,Anamosa,Jones Regional Medical Center,2/MO,UnityPoint Clinic Multi Specialty - CR,Cedar Rapids,"Brian Douglas Lindsay, MD"
Urology,Anamosa,Jones Regional Medical Center,1/MO,PCI Urology Clinic,Cedar Rapids,"Logan D Hoxie, MD"
Urology,Anamosa,Jones Regional Medical Center,1/MO,PCI Urology Clinic,Cedar Rapids,"Gregory Michael Janda, MD"
Urology,Anamosa,Jones Regional Medical Center,1/MO,PCI Urology Clinic,Cedar Rapids,"Michael Andrew Moriarty, MD"
Allergy & Immunology,Ankeny,McFarland Clinic - Ankeny Specialty,2/MO,McFarland Clinic - Duff Ave,Ames,"Jason Allen Cascio, MD"
Neurology,Ankeny,McFarland Clinic - Ankeny Specialty,3/MO,McFarland Clinic - Medical Arts Building,Ames,"David B Moore, MD"
Neurology,Ankeny,McFarland Clinic - Ankeny Specialty,3/MO,McFarland Clinic - Medical Arts Building,Ames,"Semira Ramic, DO"
Vascular Surgery,Ankeny,McFarland Clinic - Ankeny Specialty,1/MO,McFarland Clinic - Duff Ave,Ames,"Firas Salti, MD"
Allergy & Immunology,Atlantic,Cass Health Hospital,1/MO,Allergy Asthma & Sinus Center PC,West Des Moines,"Ravinder K Agarwal, MD"
Cardiovascular Disease,Atlantic,Cass Health Hospital,2/MO,The Heart Institute,"Omaha, NE","John Stephen Henry, MD"
Cardiovascular Disease,Atlantic,Cass Health Hospital,2/MO,Methodist Phyisican Clinic Heart Care,Council Bluffs,"Gina Grace Mentzer, MD"
Cardiovascular Disease,Atlantic,Cass Health Hospital,2/WK,CHI Heart and Vascular Specialists,"Omaha, NE","Ann Elizabeth Narmi, MD"
Cardiovascular Disease,Atlantic,Cass Health Hospital,2/WK,CHI Health Cardiology,"Omaha, NE","Atul A Ramachandran, MD"
Gastroenterology,Atlantic,Cass Health Hospital,2/MO,Midwest GI Associates PC,"Omaha, NE","Helen Fasanya-Uptagraft, MD"
